userId,movieId,rating,title,genres,tag,genome_score
3,1,4,Toy Story ,fantasy,Watched,0.09725
6,1,5,Toy Story ,fantasy,computer animation,0.01225
8,1,4,Toy Story ,fantasy,Disney animated feature,0.01675
10,1,4,Toy Story ,fantasy,Pixar animation,0.20675
11,1,4.5,Toy Story ,fantasy,Pixar animation,0.01575
12,1,4,Toy Story ,fantasy,Pixar,0.10425
13,1,4,Toy Story ,fantasy,animation,0.064
14,1,4.5,Toy Story ,fantasy,family,0.01625
16,1,3,Toy Story ,fantasy,Tom Hanks,0.08275
19,1,5,Toy Story ,fantasy,Pixar,0.02525
22,1,3,Toy Story ,fantasy,witty,0.10725
59,1,4.5,Toy Story ,fantasy,Pixar,0.08725
66,1,4,Toy Story ,fantasy,adventure,0.11075
69,1,4,Toy Story ,fantasy,animated,0.2105
80,1,3,Toy Story ,fantasy,animation,0.34
82,1,5,Toy Story ,fantasy,clever,0.098
84,1,5,Toy Story ,fantasy,comedy,0.127
90,1,3.5,Toy Story ,fantasy,computer animation,0.05075
91,1,4,Toy Story ,fantasy,family,0.02675
93,1,5,Toy Story ,fantasy,fantasy,0.2225
96,1,3.5,Toy Story ,fantasy,Tom Hanks,0.17175
97,1,4,Toy Story ,fantasy,bright,0.04125
99,1,4,Toy Story ,fantasy,DARING RESCUES,0.084
105,1,4,Toy Story ,fantasy,fanciful,0.01425
107,1,4,Toy Story ,fantasy,HEROIC MISSION,0.05825
109,1,3.5,Toy Story ,fantasy,humorous,0.007
114,1,3,Toy Story ,fantasy,light,0.07025
115,1,1.5,Toy Story ,fantasy,rousing,0.1
116,1,3,Toy Story ,fantasy,TOYS COME TO LIFE,0.0175
29,2,3,Jumanji ,Adventure,Children,0.0355
34,2,3,Jumanji ,Adventure,Fantasy,0.0275
54,2,3,Jumanji ,Adventure,Robin Williams,0.10625
88,2,1,Jumanji ,Adventure,Dynamic CGI Action,0.2425
91,2,3.5,Jumanji ,Adventure,Kirsten Dunst,0.12575
116,2,2,Jumanji ,Adventure,Robin Williams,0.1145
119,2,4,Jumanji ,Adventure,Robin Williams,0.0525
120,2,1,Jumanji ,Adventure,fantasy,0.0455
124,2,2,Jumanji ,Adventure,kid flick,0.337
127,2,3,Jumanji ,Adventure,animals,0.268
128,2,3,Jumanji ,Adventure,animals,0.198
129,2,3,Jumanji ,Adventure,fantasy,0.057
131,2,1,Jumanji ,Adventure,For children,0.05225
132,2,3,Jumanji ,Adventure,fantasy,0.07575
137,2,3,Jumanji ,Adventure,adapted from:book,0.0045
142,2,4,Jumanji ,Adventure,childish,0.01825
152,2,3,Jumanji ,Adventure,Children,0.006
156,2,5,Jumanji ,Adventure,kid flick,0.03025
158,2,3,Jumanji ,Adventure,time travel,0.01875
164,2,3,Jumanji ,Adventure,Joe Johnston,0.1
165,2,3,Jumanji ,Adventure,fantasy,0.03875
170,2,3,Jumanji ,Adventure,Robin Williams,0.0255
184,2,3,Jumanji ,Adventure,time travel,0.05525
220,2,3,Jumanji ,Adventure,animals,0.41025
232,2,3.5,Jumanji ,Adventure,board game,0.018
235,2,3,Jumanji ,Adventure,children,0.0155
238,2,3,Jumanji ,Adventure,fantasy,0.0065
249,2,5,Jumanji ,Adventure,Kirsten Dunst,0.013
251,2,4,Jumanji ,Adventure,Robin Williams,0.0055
255,2,5,Jumanji ,Adventure,fantasy,0.0195
259,2,5,Jumanji ,Adventure,Kirsten Dunst,0.014
271,2,2.5,Jumanji ,Adventure,Robin Williams,0.01025
278,2,3.5,Jumanji ,Adventure,fantasy,0.00875
294,2,4.5,Jumanji ,Adventure,Kirsten Dunst,0.01725
295,2,3,Jumanji ,Adventure,Robin Williams,0.028
296,2,5,Jumanji ,Adventure,fantasy,0.03575
298,2,3,Jumanji ,Adventure,Kirsten Dunst,0.0465
309,2,4,Jumanji ,Adventure,Robin Williams,0.028
315,2,4,Jumanji ,Adventure,fantasy,0.01975
326,2,3,Jumanji ,Adventure,Kirsten Dunst,0.967
330,2,3,Jumanji ,Adventure,Robin Williams,0.26275
332,2,2,Jumanji ,Adventure,fantasy,0.0505
343,2,3,Jumanji ,Adventure,Kirsten Dunst,0.0515
347,2,2,Jumanji ,Adventure,Robin Williams,0.9585
367,2,2,Jumanji ,Adventure,fantasy,0.591
369,2,4,Jumanji ,Adventure,Kirsten Dunst,0.015
370,2,4,Jumanji ,Adventure,Robin Williams,0.0065
377,2,5,Jumanji ,Adventure,fantasy,0.03525
388,2,1.5,Jumanji ,Adventure,Kirsten Dunst,0.004
849,3,3,Grumpier Old Men,Adventure,sequel fever,0.12275
850,3,2,Grumpier Old Men,Adventure,grun running,0.055
860,3,4,Grumpier Old Men,Adventure,moldy,0.051
869,3,3.5,Grumpier Old Men,Adventure,old,0.1045
872,3,3.5,Grumpier Old Men,Adventure,comedinha de velhinhos engraÃƒÂ§ada,0.05025
886,3,4,Grumpier Old Men,Adventure,Funniest Movies,0.01175
903,3,2,Grumpier Old Men,Adventure,sequel,0.19175
910,3,3.5,Grumpier Old Men,Adventure,Jack Lemmon,0.27425
925,3,3,Grumpier Old Men,Adventure,Walter Matthau,0.3255
939,3,3,Grumpier Old Men,Adventure,NO_FA_GANES,0.346
952,3,4,Grumpier Old Men,Adventure,Howard Deutch,0.84375
961,3,3,Grumpier Old Men,Adventure,sequel,0.04
965,3,1,Grumpier Old Men,Adventure,comedinha de velhinhos engraÃ§ada,0.08875
972,3,2,Grumpier Old Men,Adventure,moldy,0.03125
982,3,2,Grumpier Old Men,Adventure,old,0.064
983,3,3,Grumpier Old Men,Adventure,sequel,0.2725
984,3,4,Grumpier Old Men,Adventure,comedinha de velhinhos engraÃ§ada,0.14225
986,3,3,Grumpier Old Men,Adventure,moldy,0.062
999,3,3,Grumpier Old Men,Adventure,old,0.0385
1011,3,3,Grumpier Old Men,Adventure,sequel,0.13275
1019,3,5,Grumpier Old Men,Adventure,comedinha de velhinhos engraÃ§ada,0.19125
1043,3,3,Grumpier Old Men,Adventure,moldy,0.0375
1064,3,3,Grumpier Old Men,Adventure,old,0.0335
1068,3,4,Grumpier Old Men,Adventure,sequel,0.01475
1095,3,4,Grumpier Old Men,Adventure,comedinha de velhinhos engraÃ§ada,0.0135
1098,3,5,Grumpier Old Men,Adventure,moldy,0.16875
1099,3,3,Grumpier Old Men,Adventure,old,0.2055
1115,3,1,Grumpier Old Men,Adventure,sequel,0.07675
1122,3,2.5,Grumpier Old Men,Adventure,comedinha de velhinhos engraÃ§ada,0.02275
1131,3,4,Grumpier Old Men,Adventure,moldy,0.58825
1160,3,4,Grumpier Old Men,Adventure,old,0.051
4661,4,2,Waiting to Exhale ,comedy,chick flick,0.10825
4696,4,2,Waiting to Exhale ,comedy,revenge,0.029
4725,4,3,Waiting to Exhale ,comedy,characters,0.11125
4748,4,3,Waiting to Exhale ,comedy,chick flick,0.012
4864,4,3,Waiting to Exhale ,comedy,characters,0.057
4894,4,5,Waiting to Exhale ,comedy,CLV,0.09625
4916,4,3,Waiting to Exhale ,comedy,chick flick,0.0195
4962,4,4,Waiting to Exhale ,comedy,revenge,0.0205
5110,4,3,Waiting to Exhale ,comedy,characters,0.00475
5137,4,1,Waiting to Exhale ,comedy,chick flick,0.06225
5200,4,5,Waiting to Exhale ,comedy,characters,0.018
5216,4,3,Waiting to Exhale ,comedy,CLV,0.005
5239,4,3.5,Waiting to Exhale ,comedy,chick flick,0.055
5314,4,2.5,Waiting to Exhale ,comedy,revenge,0.05575
5375,4,3,Waiting to Exhale ,comedy,characters,0.043
5382,4,3,Waiting to Exhale ,comedy,chick flick,0.21
5483,4,2,Waiting to Exhale ,comedy,characters,0.0695
5518,4,3,Waiting to Exhale ,comedy,CLV,0.15725
